17898-0,220090306002040
14943-0,"14943-0 1420 W Victory Way,  Craig,  CO,  81625Tie"
4714-0,080770007001024
7941-0,011030004002054
7393-0,360450612001023
36398-0,090091508001022
316-0,090035147004007
12535-0,"12535-0 1127 S Jackson St,  Jacksonville,  TX,  75766Tie"
16265-0,482013101002022
12392-0,370030404002020
10567-0,290950157002023
57854-0,460199677001015
35446-0,060150001041002
24943-0,360050425007000
15797-0,180910423002011
67053-0,290950043001003
55326-0,482013338001003
6752-0,080130126031019
3335-0,200610005001016
28411-0,500159535002066
2840-0,371510303022029
23514-0,060373016012013
21094-0,240317007061019
36631-0,191530107062010
5612-0,170438413222022
50990-0,482570505003021
41883-0,511990510003042
42890-0,131350504101010
18056-0,371090702022024
55910-0,500110106002020
18069-0,370459510002000
43287-0,060816048001000
23634-0,481410012031026
23887-0,170438417041000
56405-0,530659514002040
1406-0,120860127002038
36381-0,211719304003011
15689-0,320030051031000
19731-0,160879702003022
37019-0,320030057121124
10735-0,"10735-0 11932 S Strang Line Rd,  Olathe,  KS,  66062Tie"
3575-0,"3575-0 504 E National Hwy,  Washington,  IN,  47501Tie"
45577-0,050554801002068
48327-0,250250002021007
55135-0,040050008003056
40756-0,011250124053025
24885-0,360610148011001
42498-0,530150003001025
6885-0,260810147013032
48051-0,090093411001005
12927-0,060373010004003
17574-0,120890504003013
33458-0,060590998022000
7848-0,090053604005004
12651-0,261158318002007
25101-0,551390018032010
24765-0,360610072003001
44161-0,060411281003009
52622-0,551151008003022
12139-0,481677213004009
3838-0,421298021022042
11087-0,171194022002000
15436-0,090075901004083
29680-0,511139302004073
13791-0,050219505001081
13921-0,370710333041025
56538-0,210099503001058
616-0,121270812001020
68034-0,040250009004049
11768-0,391010005021005
5758-0,550859714003000
16086-0,483030017063006
20502-0,370570603021016
16443-0,260992450002000
14059-0,"14059-0 629 1st Ave N,  Glasgow,  MT,  59230Tie"
30932-0,170318231022001
17587-0,483999506005388
31275-0,040130610112055
18176-0,360593020002007
10722-0,"10722-0 111 E South St,  Plano,  IL,  60545-1793Tie"
47747-0,280470018003001
34585-0,271090014023005
31943-0,211130606001023
23277-0,261635114002013
26027-0,180890428022007
64710-0,291892108032000
22484-0,421010382002000
37139-0,490050004011012
68511-0,481979501004039
16839-0,"16839-0 521 E Chestnut St,  Junction City,  KS,  66441Tie"
24645-0,481210201142013
1143-0,181339563005002
35317-0,250138015032022
15316-0,450679501002053
12797-0,550699602001019
17201-0,"17201-0 1757 Market Dr,  Hastings,  MN,  55033Tie"
593-0,202090418001021
14607-0,401091072221006
2938-0,090091503002008
807-0,090091403002001
15614-0,370970613021005
10913-0,560159578001053
14464-0,450350102004004
68119-0,121130108151033
53940-0,330112003002003
16109-0,511498505021073
17396-0,360550119015032
5135-0,060374640005013
3682-0,541070009032010
24454-0,170318391001091
62015-0,380590203001070
7047-0,190410803005007
41020-0,250092525013004
5255-0,170318113022027
21918-0,060374067024016
6538-0,190150203001039
1766-0,180118103002082
30011-0,360470102003000
12126-0,350559526004097
21655-0,250250809003005
6405-0,200910535095000
4368-0,420659513002024
1909-0,370570618034024
36083-0,550090102022000
48758-0,250214198002034
25474-0,350010012004020
49441-0,510010907001042
6382-0,"6382-0 1715 N Main St,  Newton,  KS,  67114Tie"
34345-0,360894926001030
27702-0,090091201002011
12113-0,280470033013011
927-0,180632106052012
60739-0,511910106011015
2925-0,150010217021020
39630-0,340230085042001
40934-0,390110410003032
15601-0,390110409003056
27835-0,391730209001021
12246-0,271494802001066
23229-0,180973906001056
61172-0,260650053042009
37340-0,540510202002011
784-0,120950165101007
62540-0,250277325001039
50608-0,281210208024030
16349-0,261239703002053
54840-0,420710118051123
7452-0,181410116022004
4653-0,261614145001010
50465-0,120860052011003
21415-0,260319607003101
1526-0,390490074261030
5803-0,482013330001037
21668-0,410170019021012
36359-0,"36359-0 1126 E Lynchburg Salem Tpke,  Bedford,  VA,  24523Tie"
1085-0,090091656003005
15627-0,090052602001027
13360-0,200299772001054
6908-0,550730010001002
11995-0,484850117001000
16216-0,482999702002011
3250-0,"3250-0 123 N Fourth St,  Danville,  KY,  40422-1453Tie"
23527-0,471870503071120
18426-0,530499504001040
50585-0,202090413004015
11061-0,180973102042007
16741-0,"16741-0 400 W Main St,  Middleville,  MI,  49333Tie"
11875-0,450259504001043
12509-0,160050011013015
36897-0,200910519061001
51988-0,040138130002000
17023-0,471490402001016
34750-0,"34750-0 507 NE 4th St,  Grand Rapids,  MN,  55744Tie"
13623-0,051074803005022
15079-0,210150706062068
26579-0,250235452003080
15747-0,260570010004000
53298-0,482599701004000
11217-0,270332704003064
42650-0,060830009002022
37486-0,390490029002002
7332-0,391730206022045
5923-0,550790913003010
36239-0,421212013004004
32915-0,551351004003039
2795-0,260490112123020
31645-0,040131097051008
29200-0,391499715001086
20398-0,212110404014040
22436-0,190150205003010
27849-0,"27849-0 327 W Main St,  West Lafayette,  OH,  43845Tie"
36956-0,261590114004038
31084-0,450750106002015
22040-0,292254703013113
11959-0,"11959-0 15 W Main St,  New Concord,  OH,  43762Tie"
19388-0,"19388-0 1827 S. Lincoln Ave.,  Salem,  OH,  44460-4265Tie"
38195-0,170318027021034
28735-0,210670034052001
23575-0,200450008022001
55051-0,480990106012015
12593-0,360290140001028
48003-0,"48003-0 401 S. Glenoaks Blvd.,  Burbank,  CA,  91502Tie"
5421-0,391230510002005
13088-0,180050111002172
67196-0,"67196-0 501 W. Atlantic Street,  Emporia,  VA,  23847-1209Tie"
66941-0,340258016003017
15245-0,090158005001018
4270-0,360550154003018
62242-0,132859604003026
42721-0,171610203003032
20399-0,"20399-0 420 N Main St,  Lesueur,  MN,  56058Tie"
34907-0,371719309021101
5794-0,391479632001000
50287-0,361019622001049
40827-0,060610211092023
3526-0,010950308013065
63764-0,517100040022007
30899-0,371830531101011
29778-0,360470632001001
39607-0,510230403023028
49658-0,010690402021048
59893-0,360830520043016
15258-0,370710316004046
3397-0,210472005003001
10664-0,311090025001001
